country,year,population,population_urbaine,taux_croissance_pop,gdp_usd,inflation,taux_chomage,exportations,esperance_vie,alphabetisation,scolarisation_primaire,gdp_per_capita
Benin,2000,7221619,2768263,3.07665265205002,3519991440.47913,74.3319475815406,0.864,725304886.00806,56.594,,80.111213684082,487.4241413842422
Benin,2001,7445596,2877723,3.05435506649292,3666222635.13875,77.2935520075027,0.765,728426333.669514,56.654,,87.4075012207031,492.4014995090722
Benin,2002,7675426,2996179,3.04010801597376,4194342686.2178,79.2175140068504,0.69,827401656.41962,56.851,35.0,92.6105804443359,546.4638296581584
Benin,2003,7913070,3128511,3.04920259714654,5349258094.48239,80.3956705120688,0.747,997331579.809427,57.092,,96.3288879394531,676.0028780842821
Benin,2004,8159094,3266820,3.06173106096489,6190270380.49856,81.0982409050891,0.79,1146038651.35219,57.346,,100.354598999023,758.6958037863714
Benin,2005,8426144,3416212,3.22061199704122,6567654954.38903,85.448772954176,0.86,1213941696.92857,57.738,,97.6395721435547,779.4377777532677
Benin,2006,8693242,3568489,3.12066888297415,7034111314.88812,88.6805967620689,0.889,1270214595.80969,57.966,28.7021102905273,97.9188232421875,809.1470725062203
Benin,2007,8953969,3721090,2.95509554727715,8169048382.83875,89.8317313290945,0.902,1800691335.95807,58.249,,,912.3382471883418
Benin,2008,9228466,3882323,3.01959398464251,9787734526.23965,96.9709273997076,0.894,2167074921.86083,58.099,,110.888137817383,1060.6025450209872
Benin,2009,9509423,4049112,2.99903642214246,9738626517.00319,97.8398570732499,0.949,1940710262.92026,58.258,,116.08260345459,1024.1027785811177
Benin,2010,9797484,4222030,2.98424162798508,9535345015.78355,100.0,1.04,2199999385.40112,58.387,,117.383979797363,973.2442549315264
Benin,2011,10093623,4401627,2.97782202797765,10693321363.6574,102.704239077473,2.647,2229520238.43142,58.462,,119.239990234375,1059.413588525884
Benin,2012,10397657,4587966,2.96766540040992,11141358115.8991,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,1071.5258366282999
Benin,2013,10708834,4780638,2.94885160135819,12517845123.9315,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,1168.9269927922592
Benin,2014,11030004,4981812,2.9550187594558,13284527846.9081,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,1204.3991867009386
Benin,2015,11360681,5191263,2.95391627666724,11388160996.7738,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,1002.4188687961399
Benin,2016,11697842,5407795,2.92460216679542,11821065853.3838,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,1010.5338961992991
Benin,2017,12039780,5630764,2.88117869411855,12701655836.9467,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,1054.9740806681434
Benin,2018,12383347,5858809,2.8136418840483,14262408089.9261,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,1151.740970347201
Benin,2019,12726755,6091152,2.73538842831436,14391686313.4641,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,1130.8213533979479
Benin,2020,13070169,6327922,2.66259875153288,15686741893.5187,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,1200.1942663112236
Benin,2021,13413417,6568819,2.59230167510348,17687623534.6665,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,1318.651581074867
Benin,2022,13759501,6815631,2.54740926342667,17425405083.8797,117.611691618775,1.685,3627155580.31394,60.475,47.0999984741211,113.04891204834,1266.4271098115912
Benin,2023,14111034,7069628,2.52274772277722,19673290995.8491,120.832723939286,1.657,3935350520.19623,60.774,,,1394.1778466304522
